area_code,area_name,period,indicator,measure,value
E06000031,Peterborough,Q1 2021,Business Births,Per 1000 population,1.69
E06000031,Peterborough,Q2 2021,Business Births,Count,310
E06000031,Peterborough,Q2 2021,Business Births,Per 1000 population,1.43
E06000031,Peterborough,Q3 2021,Business Births,Count,395
E06000031,Peterborough,Q3 2021,Business Births,Per 1000 population,1.82
E06000031,Peterborough,Q4 2021,Business Births,Count,425
E06000031,Peterborough,Q4 2021,Business Births,Per 1000 population,1.96
E06000031,Peterborough,Q1 2022,Business Births,Count,455
E06000031,Peterborough,Q1 2022,Business Births,Per 1000 population,2.09
E06000031,Peterborough,Q2 2022,Business Births,Count,400
E06000031,Peterborough,Q2 2022,Business Births,Per 1000 population,1.84
E06000031,Peterborough,Q3 2022,Business Births,Count,340
E06000031,Peterborough,Q3 2022,Business Births,Per 1000 population,1.56
E06000031,Peterborough,Q4 2022,Business Births,Count,300
E06000031,Peterborough,Q4 2022,Business Births,Per 1000 population,1.38
E06000031,Peterborough,Q1 2023,Business Births,Count,295
E06000031,Peterborough,Q1 2023,Business Births,Per 1000 population,1.34
E06000031,Peterborough,Q2 2023,Business Births,Count,260
E06000031,Peterborough,Q2 2023,Business Births,Per 1000 population,1.18
E06000031,Peterborough,Q3 2023,Business Births,Count,310
E06000031,Peterborough,Q3 2023,Business Births,Per 1000 population,1.41
E06000031,Peterborough,Q4 2023,Business Births,Count,275
E06000031,Peterborough,Q4 2023,Business Births,Per 1000 population,1.25
E06000031,Peterborough,Q1 2024,Business Births,Count,335
E06000031,Peterborough,Q1 2024,Business Births,Per 1000 population,1.53
E06000031,Peterborough,Q2 2024,Business Births,Count,265
E06000031,Peterborough,Q2 2024,Business Births,Per 1000 population,1.21
E06000031,Peterborough,Q3 2024,Business Births,Count,370
E06000031,Peterborough,Q3 2024,Business Births,Per 1000 population,1.69
E06000031,Peterborough,Q4 2024,Business Births,Count,240
E06000031,Peterborough,Q4 2024,Business Births,Per 1000 population,1.09
E06000031,Peterborough,Q4 2017,Business Deaths,Count,210
E06000031,Peterborough,Q4 2017,Business Deaths,Per 1000 population,1.01
E06000031,Peterborough,Q1 2018,Business Deaths,Count,265
E06000031,Peterborough,Q1 2018,Business Deaths,Per 1000 population,1.26
E06000031,Peterborough,Q2 2018,Business Deaths,Count,255
E06000031,Peterborough,Q2 2018,Business Deaths,Per 1000 population,1.21
E06000031,Peterborough,Q3 2018,Business Deaths,Count,200
E06000031,Peterborough,Q3 2018,Business Deaths,Per 1000 population,0.95
E06000031,Peterborough,Q4 2018,Business Deaths,Count,180
E06000031,Peterborough,Q4 2018,Business Deaths,Per 1000 population,0.85
E06000031,Peterborough,Q1 2019,Business Deaths,Count,190
E06000031,Peterborough,Q1 2019,Business Deaths,Per 1000 population,0.89
E06000031,Peterborough,Q2 2019,Business Deaths,Count,270
E06000031,Peterborough,Q2 2019,Business Deaths,Per 1000 population,1.27
E06000031,Peterborough,Q3 2019,Business Deaths,Count,200
E06000031,Peterborough,Q3 2019,Business Deaths,Per 1000 population,0.94
E06000031,Peterborough,Q4 2019,Business Deaths,Count,250
E06000031,Peterborough,Q4 2019,Business Deaths,Per 1000 population,1.17
E06000031,Peterborough,Q1 2020,Business Deaths,Count,260
E06000031,Peterborough,Q1 2020,Business Deaths,Per 1000 population,1.22
E06000031,Peterborough,Q2 2020,Business Deaths,Count,235
E06000031,Peterborough,Q2 2020,Business Deaths,Per 1000 population,1.1
E06000031,Peterborough,Q3 2020,Business Deaths,Count,190
E06000031,Peterborough,Q3 2020,Business Deaths,Per 1000 population,0.89
E06000031,Peterborough,Q4 2020,Business Deaths,Count,265
E06000031,Peterborough,Q4 2020,Business Deaths,Per 1000 population,1.24
E06000031,Peterborough,Q1 2021,Business Deaths,Count,270
E06000031,Peterborough,Q1 2021,Business Deaths,Per 1000 population,1.25
E06000031,Peterborough,Q2 2021,Business Deaths,Count,280
E06000031,Peterborough,Q2 2021,Business Deaths,Per 1000 population,1.29
E06000031,Peterborough,Q3 2021,Business Deaths,Count,330
E06000031,Peterborough,Q3 2021,Business Deaths,Per 1000 population,1.52
E06000031,Peterborough,Q4 2021,Business Deaths,Count,330
E06000031,Peterborough,Q4 2021,Business Deaths,Per 1000 population,1.52
E06000031,Peterborough,Q1 2022,Business Deaths,Count,445
E06000031,Peterborough,Q1 2022,Business Deaths,Per 1000 population,2.04
E06000031,Peterborough,Q2 2022,Business Deaths,Count,355
E06000031,Peterborough,Q2 2022,Business Deaths,Per 1000 population,1.63
E06000031,Peterborough,Q3 2022,Business Deaths,Count,305
E06000031,Peterborough,Q3 2022,Business Deaths,Per 1000 population,1.4
E06000031,Peterborough,Q4 2022,Business Deaths,Count,300
E06000031,Peterborough,Q4 2022,Business Deaths,Per 1000 population,1.38
E06000031,Peterborough,Q1 2023,Business Deaths,Count,530
E06000031,Peterborough,Q1 2023,Business Deaths,Per 1000 population,2.41
E06000031,Peterborough,Q2 2023,Business Deaths,Count,380
E06000031,Peterborough,Q2 2023,Business Deaths,Per 1000 population,1.73
E06000031,Peterborough,Q3 2023,Business Deaths,Count,265
E06000031,Peterborough,Q3 2023,Business Deaths,Per 1000 population,1.21
E06000031,Peterborough,Q4 2023,Business Deaths,Count,310
E06000031,Peterborough,Q4 2023,Business Deaths,Per 1000 population,1.41
E06000031,Peterborough,Q1 2024,Business Deaths,Count,315
E06000031,Peterborough,Q1 2024,Business Deaths,Per 1000 population,1.44
E06000031,Peterborough,Q2 2024,Business Deaths,Count,230
E06000031,Peterborough,Q2 2024,Business Deaths,Per 1000 population,1.05
E06000031,Peterborough,Q3 2024,Business Deaths,Count,275
E06000031,Peterborough,Q3 2024,Business Deaths,Per 1000 population,1.25
E06000031,Peterborough,Q4 2024,Business Deaths,Count,235
E06000031,Peterborough,Q4 2024,Business Deaths,Per 1000 population,1.07
E06000042,Milton Keynes,Q4 2017,Business Births,Count,530
E06000042,Milton Keynes,Q4 2017,Business Births,Per 1000 population,1.92
E06000042,Milton Keynes,Q1 2018,Business Births,Count,430
E06000042,Milton Keynes,Q1 2018,Business Births,Per 1000 population,1.54
E06000042,Milton Keynes,Q2 2018,Business Births,Count,530
E06000042,Milton Keynes,Q2 2018,Business Births,Per 1000 population,1.9
E06000042,Milton Keynes,Q3 2018,Business Births,Count,635
E06000042,Milton Keynes,Q3 2018,Business Births,Per 1000 population,2.28
E06000042,Milton Keynes,Q4 2018,Business Births,Count,530
E06000042,Milton Keynes,Q4 2018,Business Births,Per 1000 population,1.9
E06000042,Milton Keynes,Q1 2019,Business Births,Count,500
E06000042,Milton Keynes,Q1 2019,Business Births,Per 1000 population,1.78
E06000042,Milton Keynes,Q2 2019,Business Births,Count,535
E06000042,Milton Keynes,Q2 2019,Business Births,Per 1000 population,1.9
E06000042,Milton Keynes,Q3 2019,Business Births,Count,425
E06000042,Milton Keynes,Q3 2019,Business Births,Per 1000 population,1.51
E06000042,Milton Keynes,Q4 2019,Business Births,Count,385
E06000042,Milton Keynes,Q4 2019,Business Births,Per 1000 population,1.37
E06000042,Milton Keynes,Q1 2020,Business Births,Count,430
E06000042,Milton Keynes,Q1 2020,Business Births,Per 1000 population,1.52
E06000042,Milton Keynes,Q2 2020,Business Births,Count,330
E06000042,Milton Keynes,Q2 2020,Business Births,Per 1000 population,1.16
E06000042,Milton Keynes,Q3 2020,Business Births,Count,435
E06000042,Milton Keynes,Q3 2020,Business Births,Per 1000 population,1.53
E06000042,Milton Keynes,Q4 2020,Business Births,Count,370
E06000042,Milton Keynes,Q4 2020,Business Births,Per 1000 population,1.3
E06000042,Milton Keynes,Q1 2021,Business Births,Count,505
E06000042,Milton Keynes,Q1 2021,Business Births,Per 1000 population,1.75
E06000042,Milton Keynes,Q2 2021,Business Births,Count,400
E06000042,Milton Keynes,Q2 2021,Business Births,Per 1000 population,1.39
E06000042,Milton Keynes,Q3 2021,Business Births,Count,465
E06000042,Milton Keynes,Q3 2021,Business Births,Per 1000 population,1.61
E06000042,Milton Keynes,Q4 2021,Business Births,Count,415
E06000042,Milton Keynes,Q4 2021,Business Births,Per 1000 population,1.44
E06000042,Milton Keynes,Q1 2022,Business Births,Count,435
E06000042,Milton Keynes,Q1 2022,Business Births,Per 1000 population,1.49
E06000042,Milton Keynes,Q2 2022,Business Births,Count,410
E06000042,Milton Keynes,Q2 2022,Business Births,Per 1000 population,1.4
E06000042,Milton Keynes,Q3 2022,Business Births,Count,335
E06000042,Milton Keynes,Q3 2022,Business Births,Per 1000 population,1.15
E06000042,Milton Keynes,Q4 2022,Business Births,Count,360
E06000042,Milton Keynes,Q4 2022,Business Births,Per 1000 population,1.23
E06000042,Milton Keynes,Q1 2023,Business Births,Count,435
E06000042,Milton Keynes,Q1 2023,Business Births,Per 1000 population,1.46
E06000042,Milton Keynes,Q2 2023,Business Births,Count,410
E06000042,Milton Keynes,Q2 2023,Business Births,Per 1000 population,1.37
E06000042,Milton Keynes,Q3 2023,Business Births,Count,410
E06000042,Milton Keynes,Q3 2023,Business Births,Per 1000 population,1.37
E06000042,Milton Keynes,Q4 2023,Business Births,Count,385
E06000042,Milton Keynes,Q4 2023,Business Births,Per 1000 population,1.29
E06000042,Milton Keynes,Q1 2024,Business Births,Count,435
E06000042,Milton Keynes,Q1 2024,Business Births,Per 1000 population,1.46
E06000042,Milton Keynes,Q2 2024,Business Births,Count,435
E06000042,Milton Keynes,Q2 2024,Business Births,Per 1000 population,1.46
E06000042,Milton Keynes,Q3 2024,Business Births,Count,380
E06000042,Milton Keynes,Q3 2024,Business Births,Per 1000 population,1.27
E06000042,Milton Keynes,Q4 2024,Business Births,Count,330
E06000042,Milton Keynes,Q4 2024,Business Births,Per 1000 population,1.11
E06000042,Milton Keynes,Q4 2017,Business Deaths,Count,360
E06000042,Milton Keynes,Q4 2017,Business Deaths,Per 1000 population,1.3
E06000042,Milton Keynes,Q1 2018,Business Deaths,Count,475
E06000042,Milton Keynes,Q1 2018,Business Deaths,Per 1000 population,1.7
E06000042,Milton Keynes,Q2 2018,Business Deaths,Count,360
E06000042,Milton Keynes,Q2 2018,Business Deaths,Per 1000 population,1.29
E06000042,Milton Keynes,Q3 2018,Business Deaths,Count,325
E06000042,Milton Keynes,Q3 2018,Business Deaths,Per 1000 population,1.17
E06000042,Milton Keynes,Q4 2018,Business Deaths,Count,375
E06000042,Milton Keynes,Q4 2018,Business Deaths,Per 1000 population,1.34
E06000042,Milton Keynes,Q1 2019,Business Deaths,Count,440
E06000042,Milton Keynes,Q1 2019,Business Deaths,Per 1000 population,1.56
E06000042,Milton Keynes,Q2 2019,Business Deaths,Count,485
E06000042,Milton Keynes,Q2 2019,Business Deaths,Per 1000 population,1.72
E06000042,Milton Keynes,Q3 2019,Business Deaths,Count,430
E06000042,Milton Keynes,Q3 2019,Business Deaths,Per 1000 population,1.53
E06000042,Milton Keynes,Q4 2019,Business Deaths,Count,425
E06000042,Milton Keynes,Q4 2019,Business Deaths,Per 1000 population,1.51
E06000042,Milton Keynes,Q1 2020,Business Deaths,Count,735
E06000042,Milton Keynes,Q1 2020,Business Deaths,Per 1000 population,2.59
E06000042,Milton Keynes,Q2 2020,Business Deaths,Count,435
E06000042,Milton Keynes,Q2 2020,Business Deaths,Per 1000 population,1.53
E06000042,Milton Keynes,Q3 2020,Business Deaths,Count,325
E06000042,Milton Keynes,Q3 2020,Business Deaths,Per 1000 population,1.15
E06000042,Milton Keynes,Q4 2020,Business Deaths,Count,430
E06000042,Milton Keynes,Q4 2020,Business Deaths,Per 1000 population,1.52
E06000042,Milton Keynes,Q1 2021,Business Deaths,Count,500
E06000042,Milton Keynes,Q1 2021,Business Deaths,Per 1000 population,1.73
E06000042,Milton Keynes,Q2 2021,Business Deaths,Count,465
E06000042,Milton Keynes,Q2 2021,Business Deaths,Per 1000 population,1.61
E06000042,Milton Keynes,Q3 2021,Business Deaths,Count,450
E06000042,Milton Keynes,Q3 2021,Business Deaths,Per 1000 population,1.56
E06000042,Milton Keynes,Q4 2021,Business Deaths,Count,455
E06000042,Milton Keynes,Q4 2021,Business Deaths,Per 1000 population,1.58
E06000042,Milton Keynes,Q1 2022,Business Deaths,Count,630
E06000042,Milton Keynes,Q1 2022,Business Deaths,Per 1000 population,2.15
E06000042,Milton Keynes,Q2 2022,Business Deaths,Count,530
E06000042,Milton Keynes,Q2 2022,Business Deaths,Per 1000 population,1.81
E06000042,Milton Keynes,Q3 2022,Business Deaths,Count,385
E06000042,Milton Keynes,Q3 2022,Business Deaths,Per 1000 population,1.32
E06000042,Milton Keynes,Q4 2022,Business Deaths,Count,460
E06000042,Milton Keynes,Q4 2022,Business Deaths,Per 1000 population,1.57
E06000042,Milton Keynes,Q1 2023,Business Deaths,Count,535
E06000042,Milton Keynes,Q1 2023,Business Deaths,Per 1000 population,1.79
E06000042,Milton Keynes,Q2 2023,Business Deaths,Count,400
E06000042,Milton Keynes,Q2 2023,Business Deaths,Per 1000 population,1.34
E06000042,Milton Keynes,Q3 2023,Business Deaths,Count,295
E06000042,Milton Keynes,Q3 2023,Business Deaths,Per 1000 population,0.99
E06000042,Milton Keynes,Q4 2023,Business Deaths,Count,360
E06000042,Milton Keynes,Q4 2023,Business Deaths,Per 1000 population,1.21
E06000042,Milton Keynes,Q1 2024,Business Deaths,Count,425
E06000042,Milton Keynes,Q1 2024,Business Deaths,Per 1000 population,1.42
E06000042,Milton Keynes,Q2 2024,Business Deaths,Count,370
E06000042,Milton Keynes,Q2 2024,Business Deaths,Per 1000 population,1.24
E06000042,Milton Keynes,Q3 2024,Business Deaths,Count,345
E06000042,Milton Keynes,Q3 2024,Business Deaths,Per 1000 population,1.16
E06000042,Milton Keynes,Q4 2024,Business Deaths,Count,345
E06000042,Milton Keynes,Q4 2024,Business Deaths,Per 1000 population,1.16
E06000050,Cheshire West and Chester,Q4 2017,Business Births,Count,330
E06000050,Cheshire West and Chester,Q4 2017,Business Births,Per 1000 population,0.95
E06000050,Cheshire West and Chester,Q1 2018,Business Births,Count,385
E06000050,Cheshire West and Chester,Q1 2018,Business Births,Per 1000 population,1.1
E06000050,Cheshire West and Chester,Q2 2018,Business Births,Count,460
E06000050,Cheshire West and Chester,Q2 2018,Business Births,Per 1000 population,1.31
E06000050,Cheshire West and Chester,Q3 2018,Business Births,Count,355
E06000050,Cheshire West and Chester,Q3 2018,Business Births,Per 1000 population,1.01
E06000050,Cheshire West and Chester,Q4 2018,Business Births,Count,315
E06000050,Cheshire West and Chester,Q4 2018,Business Births,Per 1000 population,0.9
E06000050,Cheshire West and Chester,Q1 2019,Business Births,Count,450
E06000050,Cheshire West and Chester,Q1 2019,Business Births,Per 1000 population,1.27
E06000050,Cheshire West and Chester,Q2 2019,Business Births,Count,410
E06000050,Cheshire West and Chester,Q2 2019,Business Births,Per 1000 population,1.16
E06000050,Cheshire West and Chester,Q3 2019,Business Births,Count,325
E06000050,Cheshire West and Chester,Q3 2019,Business Births,Per 1000 population,0.92
E06000050,Cheshire West and Chester,Q4 2019,Business Births,Count,290
E06000050,Cheshire West and Chester,Q4 2019,Business Births,Per 1000 population,0.82
E06000050,Cheshire West and Chester,Q1 2020,Business Births,Count,380
E06000050,Cheshire West and Chester,Q1 2020,Business Births,Per 1000 population,1.07
E06000050,Cheshire West and Chester,Q2 2020,Business Births,Count,330
E06000050,Cheshire West and Chester,Q2 2020,Business Births,Per 1000 population,0.93
E06000050,Cheshire West and Chester,Q3 2020,Business Births,Count,360
E06000050,Cheshire West and Chester,Q3 2020,Business Births,Per 1000 population,1.01
E06000050,Cheshire West and Chester,Q4 2020,Business Births,Count,450
E06000050,Cheshire West and Chester,Q4 2020,Business Births,Per 1000 population,1.27
E06000050,Cheshire West and Chester,Q1 2021,Business Births,Count,460
E06000050,Cheshire West and Chester,Q1 2021,Business Births,Per 1000 population,1.29
E06000050,Cheshire West and Chester,Q2 2021,Business Births,Count,450
E06000050,Cheshire West and Chester,Q2 2021,Business Births,Per 1000 population,1.26
E06000050,Cheshire West and Chester,Q3 2021,Business Births,Count,390
E06000050,Cheshire West and Chester,Q3 2021,Business Births,Per 1000 population,1.09
E06000050,Cheshire West and Chester,Q4 2021,Business Births,Count,330
E06000050,Cheshire West and Chester,Q4 2021,Business Births,Per 1000 population,0.92
E06000050,Cheshire West and Chester,Q1 2022,Business Births,Count,420
E06000050,Cheshire West and Chester,Q1 2022,Business Births,Per 1000 population,1.16
E06000050,Cheshire West and Chester,Q2 2022,Business Births,Count,360
E06000050,Cheshire West and Chester,Q2 2022,Business Births,Per 1000 population,1
E06000050,Cheshire West and Chester,Q3 2022,Business Births,Count,345
E06000050,Cheshire West and Chester,Q3 2022,Business Births,Per 1000 population,0.95
E06000050,Cheshire West and Chester,Q4 2022,Business Births,Count,300
E06000050,Cheshire West and Chester,Q4 2022,Business Births,Per 1000 population,0.83
E06000050,Cheshire West and Chester,Q1 2023,Business Births,Count,370
E06000050,Cheshire West and Chester,Q1 2023,Business Births,Per 1000 population,1.01
E06000050,Cheshire West and Chester,Q2 2023,Business Births,Count,345
E06000050,Cheshire West and Chester,Q2 2023,Business Births,Per 1000 population,0.95
E06000050,Cheshire West and Chester,Q3 2023,Business Births,Count,325
E06000050,Cheshire West and Chester,Q3 2023,Business Births,Per 1000 population,0.89
E06000050,Cheshire West and Chester,Q4 2023,Business Births,Count,320
E06000050,Cheshire West and Chester,Q4 2023,Business Births,Per 1000 population,0.88
E06000050,Cheshire West and Chester,Q1 2024,Business Births,Count,380
E06000050,Cheshire West and Chester,Q1 2024,Business Births,Per 1000 population,1.04
E06000050,Cheshire West and Chester,Q2 2024,Business Births,Count,365
E06000050,Cheshire West and Chester,Q2 2024,Business Births,Per 1000 population,1
E06000050,Cheshire West and Chester,Q3 2024,Business Births,Count,360
E06000050,Cheshire West and Chester,Q3 2024,Business Births,Per 1000 population,0.99
E06000050,Cheshire West and Chester,Q4 2024,Business Births,Count,320
E06000050,Cheshire West and Chester,Q4 2024,Business Births,Per 1000 population,0.88
E06000050,Cheshire West and Chester,Q4 2017,Business Deaths,Count,325
E06000050,Cheshire West and Chester,Q4 2017,Business Deaths,Per 1000 population,0.94
E06000050,Cheshire West and Chester,Q1 2018,Business Deaths,Count,380
E06000050,Cheshire West and Chester,Q1 2018,Business Deaths,Per 1000 population,1.09
E06000050,Cheshire West and Chester,Q2 2018,Business Deaths,Count,375
E06000050,Cheshire West and Chester,Q2 2018,Business Deaths,Per 1000 population,1.07
E06000050,Cheshire West and Chester,Q3 2018,Business Deaths,Count,320
E06000050,Cheshire West and Chester,Q3 2018,Business Deaths,Per 1000 population,0.91
E06000050,Cheshire West and Chester,Q4 2018,Business Deaths,Count,335
E06000050,Cheshire West and Chester,Q4 2018,Business Deaths,Per 1000 population,0.96
E06000050,Cheshire West and Chester,Q1 2019,Business Deaths,Count,380
E06000050,Cheshire West and Chester,Q1 2019,Business Deaths,Per 1000 population,1.08
E06000050,Cheshire West and Chester,Q2 2019,Business Deaths,Count,440
E06000050,Cheshire West and Chester,Q2 2019,Business Deaths,Per 1000 population,1.25
E06000050,Cheshire West and Chester,Q3 2019,Business Deaths,Count,345
E06000050,Cheshire West and Chester,Q3 2019,Business Deaths,Per 1000 population,0.98
E06000050,Cheshire West and Chester,Q4 2019,Business Deaths,Count,355
E06000050,Cheshire West and Chester,Q4 2019,Business Deaths,Per 1000 population,1
E06000050,Cheshire West and Chester,Q1 2020,Business Deaths,Count,440
E06000050,Cheshire West and Chester,Q1 2020,Business Deaths,Per 1000 population,1.24
E06000050,Cheshire West and Chester,Q2 2020,Business Deaths,Count,410
E06000050,Cheshire West and Chester,Q2 2020,Business Deaths,Per 1000 population,1.16
E06000050,Cheshire West and Chester,Q3 2020,Business Deaths,Count,275
E06000050,Cheshire West and Chester,Q3 2020,Business Deaths,Per 1000 population,0.78
E06000050,Cheshire West and Chester,Q4 2020,Business Deaths,Count,425
E06000050,Cheshire West and Chester,Q4 2020,Business Deaths,Per 1000 population,1.2
E06000050,Cheshire West and Chester,Q1 2021,Business Deaths,Count,490
E06000050,Cheshire West and Chester,Q1 2021,Business Deaths,Per 1000 population,1.37
E06000050,Cheshire West and Chester,Q2 2021,Business Deaths,Count,425
E06000050,Cheshire West and Chester,Q2 2021,Business Deaths,Per 1000 population,1.19
E06000050,Cheshire West and Chester,Q3 2021,Business Deaths,Count,430
E06000050,Cheshire West and Chester,Q3 2021,Business Deaths,Per 1000 population,1.2
E06000050,Cheshire West and Chester,Q4 2021,Business Deaths,Count,435
E06000050,Cheshire West and Chester,Q4 2021,Business Deaths,Per 1000 population,1.22
E06000050,Cheshire West and Chester,Q1 2022,Business Deaths,Count,500
E06000050,Cheshire West and Chester,Q1 2022,Business Deaths,Per 1000 population,1.38
E06000050,Cheshire West and Chester,Q2 2022,Business Deaths,Count,470
E06000050,Cheshire West and Chester,Q2 2022,Business Deaths,Per 1000 population,1.3
E06000050,Cheshire West and Chester,Q3 2022,Business Deaths,Count,415
E06000050,Cheshire West and Chester,Q3 2022,Business Deaths,Per 1000 population,1.15
E06000050,Cheshire West and Chester,Q4 2022,Business Deaths,Count,400
E06000050,Cheshire West and Chester,Q4 2022,Business Deaths,Per 1000 population,1.11
E06000050,Cheshire West and Chester,Q1 2023,Business Deaths,Count,480
E06000050,Cheshire West and Chester,Q1 2023,Business Deaths,Per 1000 population,1.31
E06000050,Cheshire West and Chester,Q2 2023,Business Deaths,Count,400
E06000050,Cheshire West and Chester,Q2 2023,Business Deaths,Per 1000 population,1.1
E06000050,Cheshire West and Chester,Q3 2023,Business Deaths,Count,310
E06000050,Cheshire West and Chester,Q3 2023,Business Deaths,Per 1000 population,0.85
E06000050,Cheshire West and Chester,Q4 2023,Business Deaths,Count,310
E06000050,Cheshire West and Chester,Q4 2023,Business Deaths,Per 1000 population,0.85
E06000050,Cheshire West and Chester,Q1 2024,Business Deaths,Count,385
E06000050,Cheshire West and Chester,Q1 2024,Business Deaths,Per 1000 population,1.05
E06000050,Cheshire West and Chester,Q2 2024,Business Deaths,Count,385
E06000050,Cheshire West and Chester,Q2 2024,Business Deaths,Per 1000 population,1.05
E06000050,Cheshire West and Chester,Q3 2024,Business Deaths,Count,295
E06000050,Cheshire West and Chester,Q3 2024,Business Deaths,Per 1000 population,0.81
E06000050,Cheshire West and Chester,Q4 2024,Business Deaths,Count,290
E06000050,Cheshire West and Chester,Q4 2024,Business Deaths,Per 1000 population,0.79
E06000055,Bedford,Q4 2017,Business Births,Count,185
E06000055,Bedford,Q4 2017,Business Births,Per 1000 population,1.05
E06000055,Bedford,Q1 2018,Business Births,Count,255
E06000055,Bedford,Q1 2018,Business Births,Per 1000 population,1.43
E06000055,Bedford,Q2 2018,Business Births,Count,225
E06000055,Bedford,Q2 2018,Business Births,Per 1000 population,1.26
E06000055,Bedford,Q3 2018,Business Births,Count,190
E06000055,Bedford,Q3 2018,Business Births,Per 1000 population,1.07
E06000055,Bedford,Q4 2018,Business Births,Count,165
E06000055,Bedford,Q4 2018,Business Births,Per 1000 population,0.93
E06000055,Bedford,Q1 2019,Business Births,Count,240
E06000055,Bedford,Q1 2019,Business Births,Per 1000 population,1.33
E06000055,Bedford,Q2 2019,Business Births,Count,240
E06000055,Bedford,Q2 2019,Business Births,Per 1000 population,1.33
E06000055,Bedford,Q3 2019,Business Births,Count,200
E06000055,Bedford,Q3 2019,Business Births,Per 1000 population,1.11
E06000055,Bedford,Q4 2019,Business Births,Count,205
E06000055,Bedford,Q4 2019,Business Births,Per 1000 population,1.13
E06000055,Bedford,Q1 2020,Business Births,Count,220
E06000055,Bedford,Q1 2020,Business Births,Per 1000 population,1.21
E06000055,Bedford,Q2 2020,Business Births,Count,230
E06000055,Bedford,Q2 2020,Business Births,Per 1000 population,1.26
E06000055,Bedford,Q3 2020,Business Births,Count,210
E06000055,Bedford,Q3 2020,Business Births,Per 1000 population,1.15
E06000055,Bedford,Q4 2020,Business Births,Count,210
E06000055,Bedford,Q4 2020,Business Births,Per 1000 population,1.15
E06000055,Bedford,Q1 2021,Business Births,Count,255
E06000055,Bedford,Q1 2021,Business Births,Per 1000 population,1.37
E06000055,Bedford,Q2 2021,Business Births,Count,250
E06000055,Bedford,Q2 2021,Business Births,Per 1000 population,1.35
E06000055,Bedford,Q3 2021,Business Births,Count,195
E06000055,Bedford,Q3 2021,Business Births,Per 1000 population,1.05
E06000055,Bedford,Q4 2021,Business Births,Count,215
E06000055,Bedford,Q4 2021,Business Births,Per 1000 population,1.16
E06000055,Bedford,Q1 2022,Business Births,Count,295
E06000055,Bedford,Q1 2022,Business Births,Per 1000 population,1.57
E06000055,Bedford,Q2 2022,Business Births,Count,250
E06000055,Bedford,Q2 2022,Business Births,Per 1000 population,1.33
E06000055,Bedford,Q3 2022,Business Births,Count,185
E06000055,Bedford,Q3 2022,Business Births,Per 1000 population,0.99
E06000055,Bedford,Q4 2022,Business Births,Count,200
E06000055,Bedford,Q4 2022,Business Births,Per 1000 population,1.07
E06000055,Bedford,Q1 2023,Business Births,Count,210
E06000055,Bedford,Q1 2023,Business Births,Per 1000 population,1.11
E06000055,Bedford,Q2 2023,Business Births,Count,240
E06000055,Bedford,Q2 2023,Business Births,Per 1000 population,1.26
E06000055,Bedford,Q3 2023,Business Births,Count,210
E06000055,Bedford,Q3 2023,Business Births,Per 1000 population,1.11
E06000055,Bedford,Q4 2023,Business Births,Count,210
E06000055,Bedford,Q4 2023,Business Births,Per 1000 population,1.11
E06000055,Bedford,Q1 2024,Business Births,Count,250
E06000055,Bedford,Q1 2024,Business Births,Per 1000 population,1.32
E06000055,Bedford,Q2 2024,Business Births,Count,245
E06000055,Bedford,Q2 2024,Business Births,Per 1000 population,1.29
E06000055,Bedford,Q3 2024,Business Births,Count,195
E06000055,Bedford,Q3 2024,Business Births,Per 1000 population,1.03
E06000055,Bedford,Q4 2024,Business Births,Count,135
E06000055,Bedford,Q4 2024,Business Births,Per 1000 population,0.71
E06000055,Bedford,Q4 2017,Business Deaths,Count,170
E06000055,Bedford,Q4 2017,Business Deaths,Per 1000 population,0.97
E06000055,Bedford,Q1 2018,Business Deaths,Count,210
E06000055,Bedford,Q1 2018,Business Deaths,Per 1000 population,1.18
E06000055,Bedford,Q2 2018,Business Deaths,Count,195
E06000055,Bedford,Q2 2018,Business Deaths,Per 1000 population,1.09
E06000055,Bedford,Q3 2018,Business Deaths,Count,165
E06000055,Bedford,Q3 2018,Business Deaths,Per 1000 population,0.93
E06000055,Bedford,Q4 2018,Business Deaths,Count,200
E06000055,Bedford,Q4 2018,Business Deaths,Per 1000 population,1.12
E06000055,Bedford,Q1 2019,Business Deaths,Count,230
E06000055,Bedford,Q1 2019,Business Deaths,Per 1000 population,1.27
E06000055,Bedford,Q2 2019,Business Deaths,Count,235
E06000055,Bedford,Q2 2019,Business Deaths,Per 1000 population,1.3
E06000055,Bedford,Q3 2019,Business Deaths,Count,150
E06000055,Bedford,Q3 2019,Business Deaths,Per 1000 population,0.83
E06000055,Bedford,Q4 2019,Business Deaths,Count,150
E06000055,Bedford,Q4 2019,Business Deaths,Per 1000 population,0.83
E06000055,Bedford,Q1 2020,Business Deaths,Count,225
E06000055,Bedford,Q1 2020,Business Deaths,Per 1000 population,1.23
E06000055,Bedford,Q2 2020,Business Deaths,Count,170
E06000055,Bedford,Q2 2020,Business Deaths,Per 1000 population,0.93
E06000055,Bedford,Q3 2020,Business Deaths,Count,130
E06000055,Bedford,Q3 2020,Business Deaths,Per 1000 population,0.71
E06000055,Bedford,Q4 2020,Business Deaths,Count,195
E06000055,Bedford,Q4 2020,Business Deaths,Per 1000 population,1.07
E06000055,Bedford,Q1 2021,Business Deaths,Count,225
E06000055,Bedford,Q1 2021,Business Deaths,Per 1000 population,1.21
E06000055,Bedford,Q2 2021,Business Deaths,Count,240
